SubjectNum;PassiveRis_1;PassiveRis_2;PassiveRis_3;PassiveRis_4;PassiveRis_5;PassiveRis_6;PassiveRis_7;PassiveRis_8;PassiveRis_9;PassiveRis_10;PassiveRis_11;PassiveRis_12;PassiveRis_13;PassiveRis_14;PassiveRis_15;PassiveRis_16;PassiveRis_17;PassiveRis_18;PassiveRis_19;PassiveRis_20;PassiveRis_21;PassiveRis_22;PassiveRis_23;PassiveRis_24;PassiveRis_25
51;4;6;7;2;7;6;6;7;6;3;6;6;2;5;7;7;5;4;4;6;7;5;3;5;5
204;2;3;6;5;6;7;3;7;4;5;5;7;1;5;5;7;3;5;6;6;5;6;3;2;1
494;1;1;6;6;2;6;7;6;6;6;2;5;2;6;6;7;1;4;3;2;6;2;6;6;2
519;5;6;7;7;6;7;5;7;7;5;6;6;2;5;6;7;2;2;3;5;6;6;6;6;2
650;2;3;5;5;7;7;6;7;5;3;2;7;5;3;5;6;5;5;3;5;6;5;2;2;2
656;2;4;4;5;5;7;5;7;6;2;3;6;5;5;3;5;6;3;3;2;3;4;5;5;3
683;3;3;4;4;5;6;6;7;6;6;2;6;4;5;4;7;5;3;3;4;5;2;5;4;6
687;3;2;5;6;6;7;4;7;5;2;4;5;3;5;6;7;3;2;4;6;3;2;2;5;4
891;1;4;3;7;6;6;6;7;7;4;2;6;1;2;5;6;4;3;1;3;2;2;5;5;6
967;5;2;6;6;5;7;6;7;6;4;2;5;5;7;5;7;4;5;5;5;4;2;5;4;3
1034;5;5;7;7;7;6;5;6;5;6;3;6;6;5;7;7;6;7;6;6;6;2;5;6;2
1102;6;6;6;4;6;7;6;7;6;4;1;6;2;6;7;7;4;7;6;6;6;1;6;6;3
1213;1;1;7;7;7;7;7;2;7;4;2;7;1;7;7;7;6;7;4;6;7;2;7;7;2
1230;1;3;7;2;7;7;3;7;4;3;4;7;4;7;6;7;5;7;1;6;6;7;6;6;2
1351;3;2;7;7;6;7;6;6;5;4;4;5;2;6;5;6;6;4;7;7;7;5;5;5;2
1794;5;7;4;7;7;7;7;7;5;3;1;7;1;7;5;7;3;2;7;3;7;4;6;6;5
1814;3;5;7;7;7;7;7;7;7;1;3;6;2;6;6;7;7;6;6;7;6;2;5;4;1
1985;5;5;6;7;5;7;6;7;7;2;2;7;4;7;7;7;6;6;6;7;7;2;7;6;1
1994;6;5;6;6;6;6;5;7;4;2;1;7;3;6;7;7;5;6;5;7;6;2;5;6;3
2025;3;3;5;5;7;7;4;7;4;5;5;7;4;6;6;7;6;2;6;3;4;2;5;4;2
2316;3;5;7;2;5;6;6;7;7;3;2;4;2;2;3;5;3;5;5;4;3;2;3;2;3
2372;3;6;2;4;2;6;6;7;6;3;1;3;2;5;5;6;2;6;3;3;2;2;5;2;6
2424;3;4;2;5;7;7;7;4;5;4;5;7;1;6;5;4;3;2;4;4;5;5;6;6;2
2451;1;2;6;3;6;7;6;7;5;2;6;3;3;5;3;7;5;3;3;3;3;5;3;3;2
2527;2;7;7;7;7;7;3;7;5;1;1;5;5;6;7;4;4;4;6;4;5;4;7;6;1
2618;2;3;4;4;6;6;4;7;5;6;4;4;2;3;5;6;4;3;5;5;5;5;3;5;5
2721;5;5;6;6;6;7;7;7;6;2;6;7;3;7;3;7;6;6;7;7;7;5;6;7;3
2821;3;4;7;3;7;7;6;4;4;2;4;6;1;7;4;7;1;5;3;4;7;7;5;4;1
2833;1;1;2;2;6;7;4;5;5;2;2;5;1;2;1;2;5;2;5;5;5;6;6;2;6
2865;2;4;6;6;6;7;6;2;5;5;2;6;2;3;6;1;2;2;2;2;3;3;2;2;6
3004;2;2;2;3;7;7;1;7;7;7;1;7;2;7;7;7;4;5;2;7;5;7;6;5;7
3069;6;5;7;7;7;7;7;6;7;7;1;3;1;7;6;7;7;6;7;6;7;6;6;7;1
3149;5;7;6;7;7;7;5;6;6;5;3;5;4;7;7;7;6;6;7;6;7;5;5;6;3
3195;6;6;7;7;7;7;6;7;6;2;2;7;3;6;6;7;6;5;6;6;6;3;6;3;5
3307;3;5;2;6;7;7;6;7;6;1;2;7;1;6;6;7;2;3;2;4;5;6;3;6;2
3349;3;2;6;5;6;6;6;6;6;4;1;7;5;6;4;7;5;4;6;5;6;5;5;5;2
3374;5;2;7;7;7;7;7;7;6;1;4;7;2;7;5;7;4;5;5;6;7;4;5;2;1
3610;2;2;6;5;7;6;6;7;6;5;4;7;2;3;3;6;6;6;5;7;5;6;6;6;3
3708;3;4;6;6;7;7;6;7;5;2;6;5;2;4;5;7;2;4;4;6;6;1;3;4;1
4121;1;6;1;7;7;7;7;7;6;3;2;7;1;7;5;7;5;6;7;7;6;1;2;7;3
4182;6;6;7;7;7;7;6;7;6;1;2;7;6;7;5;7;4;7;7;7;7;4;6;5;3
4207;5;4;6;5;7;7;7;7;7;4;2;6;4;4;6;7;4;5;4;6;6;5;5;5;2
4287;4;7;7;5;6;7;5;7;7;3;1;7;5;5;4;7;1;1;6;4;7;4;5;7;1
4324;1;3;7;7;6;6;7;6;5;4;3;5;2;2;2;6;5;1;5;2;5;5;2;2;5
4339;6;6;7;6;7;7;7;7;5;7;2;7;5;7;4;7;6;5;6;7;7;5;5;7;2
4356;4;6;7;7;7;3;6;7;6;2;2;7;7;4;7;7;6;6;6;7;5;7;6;3;1
4367;5;6;7;6;7;7;7;7;6;4;4;7;4;6;4;7;3;6;7;6;6;2;3;5;2
4514;4;4;4;5;6;7;7;7;6;4;2;5;2;3;3;7;4;4;5;6;7;2;5;4;2
4610;2;2;3;4;6;6;5;1;6;2;7;5;2;6;3;3;3;1;2;2;4;6;2;2;3
4723;2;6;5;4;6;3;6;4;3;6;4;3;2;3;2;6;4;5;2;3;1;7;6;3;3
4784;1;3;7;6;6;7;7;7;5;2;4;7;2;6;2;7;4;4;3;5;5;5;5;7;2
4886;5;4;6;7;7;7;7;7;4;2;1;7;4;7;3;7;4;7;7;7;6;4;6;7;1
4892;4;6;4;7;6;7;4;6;7;6;2;6;3;6;6;7;4;2;6;6;6;5;6;7;3
5224;1;4;6;6;6;6;6;7;6;3;6;3;1;3;2;7;5;2;1;5;4;5;3;1;1
5295;3;3;3;3;5;6;4;7;5;4;5;7;5;7;7;7;4;4;3;4;6;5;3;3;2
5373;2;4;6;7;6;6;4;4;4;6;3;4;2;6;3;5;2;3;5;5;5;4;2;4;6
5418;5;6;3;4;6;6;5;7;7;2;5;6;2;5;5;6;5;6;6;6;5;5;5;4;1
5422;2;5;7;7;7;5;6;7;6;4;2;7;2;2;4;7;5;3;4;3;3;5;5;4;2
5733;1;3;3;5;7;6;6;7;5;3;2;6;1;6;5;6;2;2;3;5;6;6;7;5;3
6474;2;3;7;6;7;7;5;6;5;4;5;6;1;6;6;7;5;4;6;7;4;3;5;6;1
6479;5;5;7;6;6;7;6;7;6;4;3;4;2;5;5;6;6;5;5;4;3;1;5;5;6
6788;5;3;5;2;6;6;6;6;4;5;2;6;3;6;5;7;3;2;3;6;5;7;3;6;3
6970;2;4;5;3;4;5;4;7;5;5;5;6;1;3;5;7;3;3;3;6;6;1;4;4;2
7102;2;2;4;4;4;7;5;7;6;5;5;4;1;1;6;4;2;2;3;2;3;6;5;5;4
7247;2;3;7;7;7;7;6;7;6;2;2;6;4;7;6;7;5;7;4;5;6;4;4;6;3
7303;5;3;7;7;4;7;6;7;6;5;3;5;5;4;5;5;5;4;6;6;5;6;5;4;2
7424;2;4;6;4;7;7;5;7;7;3;1;7;3;7;1;7;5;4;7;7;7;4;6;5;7
7448;1;3;3;5;6;7;5;7;6;3;4;7;4;7;6;7;2;5;6;6;6;4;6;3;4
7534;7;7;5;7;6;7;5;7;5;1;1;7;1;7;5;7;6;4;7;5;6;6;6;7;4
7718;3;3;7;7;7;7;6;7;7;3;2;6;2;5;6;7;3;5;3;6;6;5;7;7;2
7737;4;4;7;7;7;6;4;6;6;4;1;5;2;5;1;7;3;7;7;3;6;4;4;7;2
7847;6;7;7;7;7;7;4;6;7;4;2;3;5;4;3;3;3;4;7;7;6;6;5;4;6
7908;4;5;4;5;6;7;6;6;7;5;5;6;2;7;6;6;4;4;7;5;7;6;4;3;5
7953;3;6;5;6;5;6;6;7;7;6;2;4;1;7;2;6;2;3;5;4;3;5;6;6;7
7984;1;2;2;4;7;7;4;7;6;1;3;7;1;6;5;7;2;1;1;4;4;2;5;4;1
7992;1;1;1;7;7;7;6;7;7;3;3;6;2;4;5;7;1;3;2;3;4;4;3;2;2
8161;6;5;6;7;6;7;5;7;6;7;4;6;3;5;7;7;5;5;6;4;5;6;6;7;1
8169;1;3;2;6;5;6;6;7;7;2;2;5;1;6;2;3;1;1;4;2;5;1;4;5;2
8227;5;4;2;2;2;1;6;6;5;2;1;2;2;6;6;4;5;5;4;5;7;1;6;7;2
8331;5;6;6;7;7;7;7;7;4;2;5;6;3;5;6;7;3;6;2;7;7;5;2;6;1
8458;7;7;7;5;7;7;6;7;7;3;1;7;4;6;7;7;3;5;7;5;7;4;7;7;1
8503;2;2;7;5;7;7;4;7;7;1;2;7;2;7;7;7;7;6;2;5;5;3;7;7;2
8514;3;3;2;6;7;7;7;7;7;2;3;5;6;5;3;6;3;5;6;5;2;5;6;5;6
8523;1;3;6;7;7;7;7;7;4;4;5;6;1;7;5;7;1;3;1;2;4;6;6;5;6
8637;3;3;7;4;5;7;5;6;6;4;1;4;3;4;6;7;6;6;4;7;5;5;3;4;4
8682;1;4;5;3;4;6;4;7;7;2;5;5;1;5;3;7;3;4;2;4;4;4;5;5;2
8696;2;5;3;6;7;7;5;7;5;4;2;7;3;6;5;7;3;4;3;6;6;4;5;7;2
8742;1;4;2;4;6;7;5;7;6;3;1;6;1;6;5;6;2;5;4;5;5;3;4;2;2
8754;2;3;5;5;4;7;6;7;5;3;1;6;2;7;4;7;6;5;2;6;6;2;5;3;1
8785;5;7;7;7;7;7;7;7;7;6;2;6;1;7;7;7;4;6;3;7;7;2;7;6;1
8885;4;6;5;7;7;7;6;7;5;2;4;5;1;3;7;7;3;3;6;6;7;7;6;7;6
9150;7;5;6;7;7;7;5;7;5;2;5;7;1;7;7;7;5;5;6;5;6;1;6;7;1
9306;1;1;4;5;7;4;4;7;7;4;3;7;1;7;3;4;2;1;1;4;5;7;5;5;4
9360;6;6;4;4;7;7;6;7;4;1;7;6;1;7;5;7;4;5;5;6;6;1;5;5;2
9364;1;2;5;3;7;7;7;7;7;5;3;7;6;7;7;7;6;6;6;7;7;2;6;6;1
9394;2;4;2;5;5;6;7;7;6;5;5;5;2;6;3;7;5;7;5;7;5;6;5;5;5
9682;5;6;6;6;4;7;6;7;6;2;4;5;4;7;6;7;4;7;7;6;7;2;4;6;2
9774;4;5;2;6;6;7;5;6;7;1;3;4;3;4;3;7;4;5;4;5;5;4;6;6;3
;;;;;;;;;;;;;;;;;;;;;;;;;
