pid,gender,age,ieq_cond1_1,ieq_cond1_2,ieq_cond1_3,ieq_cond1_4,ieq_cond1_5,ieq_cond1_6,ieq_cond2_1,ieq_cond2_2,ieq_cond2_3,ieq_cond2_4,ieq_cond2_5,ieq_cond2_6,deq_cond1_spe,deq_cond1_int,deq_cond1_crl,deq_cond1_crg,deq_cond1_inv,deq_cond1_sat,deq_cond1_rea,deq_cond2_spe,deq_cond2_int,deq_cond2_crl,deq_cond2_crg,deq_cond2_inv,deq_cond2_sat,deq_cond2_rea,ipq_sp1,ipq_sp2,ipq_sp3,ipq_sp4,ipq_sp5,ipq_inv1,ipq_inv2,ipq_inv3,ipq_inv4,ipq_g1,ipq_real1,ipq_real2,ipq_real3,ipq_real4,sam_p_1_v,sam_p_1_a,sam_p_1_d,sam_p_2_v,sam_p_2_a,sam_p_2_d,sam_a_1_v,sam_a_1_a,sam_a_1_d,sam_a_2_v,sam_a_2_a,sam_a_2_d,sias
1,m,23,4,4,5,4,3,4,5,5,6,4,5,4,4.75,5.8,4.25,5.5,3.4,3.2,3.8,5.25,6,4.75,6,5.2,5.2,4.6,4,5,2,5,2,3,4,2,5,4,5,4,2,3,3,3,4,3,3,4,2,3,5,4,4,4,23
2,m,31,4,4,3,4,2,4,5,4,4,5,6,5,5.5,5.6,4.25,6,4.2,2.8,5.2,5.25,6.2,4.25,6.25,5.6,5.4,5.2,5,6,3,5,4,2,2,2,4,4,3,3,2,3,3,4,4,4,3,4,1,3,4,3,4,2,23
3,m,33,4,4,4,3,3,4,5,4,4,5,5,4,5.75,6,4,5.5,3.4,3,4.6,5.75,6.6,4.25,6.25,5.8,4.8,4.8,5,5,0,4,3,2,2,3,4,5,4,3,3,2,3,3,3,3,3,5,2,3,5,4,3,3,14
4,m,28,4,2,2,2,1,3,6,6,7,6,6,5,6,6,4.75,5.5,3.8,2.8,4.6,6,6,4.75,5.75,5.4,5.4,5,4,5,2,5,4,4,3,2,4,4,3,4,1,4,1,2,2,5,5,5,1,2,5,5,5,3,56
5,f,30,5,4,3,3,3,4,6,5,4,5,5,4,5.75,6,4,6,4,2.8,4.8,5.5,6.2,4.25,6,5.2,5,5.2,5,4,2,3,3,2,5,3,3,5,4,3,3,4,2,3,4,3,4,4,1,3,3,3,3,3,21
6,f,28,6,4,3,4,3,4,6,4,4,4,5,5,5.75,6,4.25,5.75,4,2.8,5,6,6.8,4.75,6,5.4,5.4,4.8,5,5,1,5,4,3,3,3,5,5,4,4,4,3,3,3,5,3,3,5,2,4,4,4,4,3,24
7,f,30,5,3,4,3,4,4,6,5,5,5,6,4,5.75,6.8,4.25,5.5,3.8,3.2,4.4,5.25,6.8,4.75,5.5,4.6,5.2,4.8,3,4,3,3,4,2,5,3,5,4,4,3,2,3,3,2,4,4,3,4,2,2,4,4,3,2,13
8,m,29,5,4,3,3,3,5,6,4,4,4,5,5,5.25,5.6,4.25,5.75,4.4,2.6,5.2,5.75,6.6,4.25,6.25,5.8,5.2,5.6,5,5,2,5,4,3,3,2,4,5,3,2,3,3,4,3,3,4,3,5,3,3,5,4,3,3,23
9,f,27,4,4,3,4,2,4,4,5,4,5,6,4,4.75,6,3.75,5.5,3.8,3.8,4.6,5.25,6.4,4.5,5.75,5,5.4,4.6,3,3,2,3,3,1,3,3,5,4,2,3,3,2,4,4,4,4,3,4,2,4,4,4,4,2,25
10,f,31,5,4,4,3,3,4,5,5,5,5,5,4,5.25,6,4.25,5,4.2,2.6,5,5.5,6.8,4.75,5.5,5.8,5.6,5.2,4,6,3,5,4,2,2,2,5,4,4,4,2,3,3,3,4,5,3,4,3,3,3,3,4,3,24
11,f,27,4,3,4,3,2,3,7,6,6,5,7,5,5.75,6,4,5.75,4.2,2.6,4.6,5.5,6.2,4.25,5.75,5.8,5.6,5.2,5,4,2,3,3,2,3,3,4,5,3,3,2,3,2,2,2,5,4,5,1,2,5,5,5,2,21
12,m,30,5,4,4,3,3,4,5,4,5,5,5,4,5.5,6.4,4.75,5,4.2,3.4,4.6,5.5,6.4,4.75,5,5.2,5.4,5,4,5,1,5,5,3,4,3,4,4,4,2,3,4,3,2,3,4,3,4,2,3,4,3,4,3,20
13,f,29,4,5,4,3,3,4,5,5,4,5,5,4,5.75,6,5.25,5,4.2,3,4.8,5.75,6,4.75,5.75,5.4,5.2,5.2,4,4,3,5,3,5,2,2,4,3,3,3,1,3,3,3,4,4,3,5,2,3,3,4,3,4,15
14,f,27,4,4,4,4,4,4,4,5,5,5,6,4,5,5.8,3.75,5.5,3.6,2.2,4.4,5.5,6.4,4.25,6,5.8,6,5,3,5,2,4,4,4,4,3,4,5,4,3,3,3,3,2,3,4,3,5,1,4,4,3,4,3,16
15,m,26,5,4,3,4,1,5,6,5,4,6,6,4,5.5,6.2,4.25,5.25,3.4,2.6,4.8,5.5,6.6,4.75,5,5.2,5.4,5,5,5,5,5,4,2,5,3,5,5,4,4,4,4,4,3,3,4,3,4,2,3,3,4,3,2,17
16,m,28,4,3,4,4,2,4,5,5,5,4,6,4,6,5.8,4.5,5.25,4,3.2,4.4,6,6.4,5,5.75,5.6,5.2,4.4,4,4,1,4,3,2,2,3,4,5,3,3,3,3,3,4,4,5,4,4,2,3,4,3,3,4,22
17,f,26,3,4,3,3,3,5,4,4,5,4,5,4,5,6.4,4.75,5.75,3.4,2.6,4.6,5.25,6.2,4.5,6.25,5.6,5.2,4.8,4,4,2,4,3,2,2,3,3,5,4,4,4,4,3,3,3,3,3,3,2,4,4,4,3,4,25
18,f,35,2,2,3,2,1,2,6,6,5,7,6,5,6.25,5.8,3.5,5.75,3.8,3.2,4.8,6.25,6.4,4.75,5.25,5.2,5.2,5.4,4,5,2,4,4,3,4,2,4,5,2,4,2,4,1,2,2,5,5,5,1,2,5,5,5,4,55
19,m,35,3,4,5,3,2,3,5,4,5,5,6,4,6,5.8,4.75,6,3.6,2.6,4.6,6,6.2,5,6,5.8,4.6,4.8,3,4,4,4,3,2,2,2,5,5,4,2,3,3,2,3,3,3,3,4,2,3,3,4,4,3,23
20,f,28,4,3,4,4,3,5,5,5,4,6,5,4,4.75,5.6,4,5.5,3.8,3.6,4.8,5,6.2,4.5,5.75,5.4,5.6,4.4,3,6,5,5,4,4,5,4,5,4,5,4,4,4,3,3,3,4,3,5,2,4,4,4,3,3,16
21,m,37,4,4,4,4,2,4,5,4,5,6,5,4,5,6,4.5,6,3.4,2.8,5,5.5,6.4,4.5,6.25,4.8,6,5,3,5,2,5,4,4,4,4,5,5,5,4,4,4,2,2,3,3,3,4,1,3,5,3,3,3,15
22,f,26,5,4,3,3,2,4,5,5,4,5,6,5,6,6,5.25,5.25,4.4,3,4.8,5.5,6.2,4.5,5.5,5.6,5.2,5.4,4,6,4,5,2,2,3,3,4,5,4,4,3,3,2,2,3,4,3,5,2,3,4,4,2,4,24
23,f,29,2,3,2,2,1,2,7,6,6,7,6,5,6.25,5.6,4.25,6,3.4,2,4.8,6.25,6,4.75,6,6.4,6,5.4,5,6,1,5,5,2,4,4,5,5,5,4,4,4,2,1,2,5,5,5,1,3,5,5,4,4,57
24,m,32,1,2,2,2,1,1,6,7,6,6,6,5,6.25,5.8,4.25,6.5,4,1.6,4.8,6.5,6.4,4.75,6.5,6.2,6.4,5.4,5,6,1,6,4,2,2,3,5,6,1,3,4,4,1,2,1,5,5,5,1,3,5,5,5,3,27
